[2.54339094 0.26510053]
434     , -428.727    , array([ 0.936799   ,  0.740023   ])
436     , -48.7217    , array([ 2.54124    ,  0.774893   ])
438     , -48.7137    , array([ 2.54124    ,  0.775669   ])
[2.54124147 0.77489345]
440     , -437.272    , array([ 0.936799   ,  0.407228   ])
442     , -71.159     , array([ 2.54392    ,  0.408923   ])
444     , -71.0802    , array([ 2.54392    ,  0.409332   ])
[2.54391621 0.40892274]
446     , -430.292    , array([ 0.936799   ,  0.691523   ])
448     , -49.426     , array([ 2.54181    ,  0.720406   ])
450     , -49.4148    , array([ 2.54181    ,  0.721127   ])
[2.54180838 0.72040619]
452     , -435.331    , array([ 0.936799   ,  0.521751   ])
454     , -56.1738    , array([ 2.5434     ,  0.532591   ])
456     , -56.1365    , array([ 2.5434     ,  0.533124   ])
[2.54340029 0.53259103]
458     , -407.563    , array([ 0.936799   ,  0.071603   ])
460     , -329.123    , array([ 2.53641    ,  0.0663004  ])
462     , -329.031    , array([ 2.53641    ,  0.0663667  ])
[2.53640833 0.06630041]
464     , -802.172    , array([ 0.338291   ,  0.0521943  ])
466     , -411.92     , array([ 0.794761   ,  0.0310802  ])
468     , -411.947    , array([ 0.794761   ,  0.0311113  ])
[0.79476148 0.03108018]
470     , -519.554    , array([ 0.338291   ,  0.978683   ])
472     , -393.816    , array([ 0.219767   ,  2.4136     ])
474     , -393.815    , array([ 0.219767   ,  2.41602    ])
[0.21976671 2.41360188]
476     , -669.547    , array([ 0.338291   ,  0.700727   ])
478     , -396.633    , array([ 0.26044    ,  1.84012    ])
480     , -396.613    , array([ 0.26044    ,  1.84196    ])
[0.26044015 1.84011615]
482     , -1161       , array([ 0.338291   ,  0.117317   ])
484     , -432.087    , array([ 0.871332   ,  0.0851141  ])
486     , -432.13     , array([ 0.871332   ,  0.0851993  ])
[0.87133165 0.08511413]
488     , -1068.75    , array([ 0.338291   ,  0.3438     ])
490     , -601.987    , array([ 0.564443   ,  0.811179   ])
492     , -601.704    , array([ 0.564443   ,  0.81199    ])
[0.56444334 0.81117859]
